district,data type,year,gender,age group,number
Affoltern,Pop_Actual,2019,female,55_59,2058.0
Affoltern,Pop_Actual,2019,female,60_64,1683.0
Affoltern,Pop_Actual,2019,female,65_69,1493.0
Affoltern,Pop_Actual,2019,female,70_74,1370.0
Affoltern,Pop_Actual,2019,female,75_79,1068.0
Affoltern,Pop_Actual,2019,female,80_84,646.0
Affoltern,Pop_Actual,2019,female,85_89,420.0
Affoltern,Pop_Actual,2019,female,90_94,182.0
Affoltern,Pop_Actual,2019,female,95+,31.0
Affoltern,Pop_Actual,2020,male,00_04,1569.0
Affoltern,Pop_Actual,2020,male,05_09,1767.0
Affoltern,Pop_Actual,2020,male,10_14,1570.0
Affoltern,Pop_Actual,2020,male,15_19,1441.0
Affoltern,Pop_Actual,2020,male,20_24,1361.0
Affoltern,Pop_Actual,2020,male,25_29,1443.0
Affoltern,Pop_Actual,2020,male,30_34,1575.0
Affoltern,Pop_Actual,2020,male,35_39,2004.0
Affoltern,Pop_Actual,2020,male,40_44,2018.0
Affoltern,Pop_Actual,2020,male,45_49,2080.0
Affoltern,Pop_Actual,2020,male,50_54,2369.0
Affoltern,Pop_Actual,2020,male,55_59,2164.0
Affoltern,Pop_Actual,2020,male,60_64,1662.0
Affoltern,Pop_Actual,2020,male,65_69,1357.0
Affoltern,Pop_Actual,2020,male,70_74,1292.0
Affoltern,Pop_Actual,2020,male,75_79,1025.0
Affoltern,Pop_Actual,2020,male,80_84,538.0
Affoltern,Pop_Actual,2020,male,85_89,285.0
Affoltern,Pop_Actual,2020,male,90_94,91.0
Affoltern,Pop_Actual,2020,male,95+,21.0
Affoltern,Pop_Actual,2020,female,00_04,1529.0
Affoltern,Pop_Actual,2020,female,05_09,1569.0
Affoltern,Pop_Actual,2020,female,10_14,1547.0
Affoltern,Pop_Actual,2020,female,15_19,1395.0
Affoltern,Pop_Actual,2020,female,20_24,1333.0
Affoltern,Pop_Actual,2020,female,25_29,1385.0
Affoltern,Pop_Actual,2020,female,30_34,1657.0
Affoltern,Pop_Actual,2020,female,35_39,2056.0
Affoltern,Pop_Actual,2020,female,40_44,2145.0
Affoltern,Pop_Actual,2020,female,45_49,2053.0
Affoltern,Pop_Actual,2020,female,50_54,2272.0
Affoltern,Pop_Actual,2020,female,55_59,2139.0
Affoltern,Pop_Actual,2020,female,60_64,1707.0
Affoltern,Pop_Actual,2020,female,65_69,1503.0
Affoltern,Pop_Actual,2020,female,70_74,1409.0
Affoltern,Pop_Actual,2020,female,75_79,1090.0
Affoltern,Pop_Actual,2020,female,80_84,707.0
Affoltern,Pop_Actual,2020,female,85_89,418.0
Affoltern,Pop_Actual,2020,female,90_94,181.0
Affoltern,Pop_Actual,2020,female,95+,52.0
Affoltern,Pop_Actual,2021,male,00_04,1539.0
Affoltern,Pop_Actual,2021,male,05_09,1789.0
Affoltern,Pop_Actual,2021,male,10_14,1608.0
Affoltern,Pop_Actual,2021,male,15_19,1467.0
Affoltern,Pop_Actual,2021,male,20_24,1346.0
Affoltern,Pop_Actual,2021,male,25_29,1425.0
Affoltern,Pop_Actual,2021,male,30_34,1616.0
Affoltern,Pop_Actual,2021,male,35_39,1972.0
Affoltern,Pop_Actual,2021,male,40_44,2082.0
Affoltern,Pop_Actual,2021,male,45_49,2063.0
Affoltern,Pop_Actual,2021,male,50_54,2351.0
Affoltern,Pop_Actual,2021,male,55_59,2161.0
Affoltern,Pop_Actual,2021,male,60_64,1740.0
