name,address,lat,lng,type
Migros-Supermarkt - Stäfa,"Goethestrasse 18, Stäfa",47.2408051,8.7242593,Coop
Coop Pronto Shop mit Tankstelle Richterswil,"Obermattstrasse 1, Richterswil",47.2034465,8.685186999999999,Coop
Coop Supermarkt Männedorf Bahnhof,"Bahnhofstrasse 24B, Männedorf",47.2528286,8.6929493,Coop
TAKE Express Shop,"Zugerstrasse 2, Wädenswil",47.2298757,8.673272599999999,Coop
Coop Pronto Shop mit Tankstelle Meilen,"Seestrasse 931, Meilen",47.2647859,8.6606123,Coop
Lidl Schweiz,"Hügsamstrasse 11, Samstagern",47.19606,8.67986,Lidl
Lidl Schweiz,"Steinacherstrasse 147, Wädenswil",47.23659,8.63606,Lidl
Volg Samstagern,"Stationsstrasse 40, Samstagern",47.1922905,8.680644899999999,Lidl
Migros-Supermarkt - Wädenswil,"Oberdorfstrasse 27-31, Wädenswil",47.2290391,8.667934899999999,Lidl
ALDI SUISSE,"Seestrasse 302/304, Wädenswil",47.2464746,8.646444899999999,Lidl
ALDI SUISSE,"Seestrasse 61, Männedorf",47.2572967,8.6833697,Lidl
Volg Männedorf,"Allenbergstrasse 2, Männedorf",47.256799,8.704022499999999,Lidl
ALDI SUISSE,"Zugerstrasse 1, Richterswil",47.2050777,8.7066964,Lidl
Denner Partner,"Schulhausstrasse 3/5, Oetwil am See",47.2711859,8.720855499999999,Denner
Denner Express,"Kreuzstrasse 4, Stäfa",47.240211,8.724529,Denner
Denner Express,"Marktgasse 18, Meilen",47.2692391,8.642732,Denner
Denner Discount,"Oberdorfstrasse 21, Wädenswil",47.2283082,8.668846799999999,Denner
Denner Discount,"Rosengartenstrasse 4, Richterswil",47.210037,8.703776,Denner
Denner Discount,"Wächlenstrasse 1, Wollerau",47.1963227,8.722434699999999,Denner
Denner Bibite,"Roosstrasse 23, Wollerau",47.1920587,8.7214998,Denner
Denner Discount,"Zentrum Leue, Alte Landstrasse 260-264, Männedorf",47.2529901,8.6960436,Denner
Migros-Supermarkt - Wollerau Märt Roospark,"Roosstrasse 23, Wollerau",47.1919,8.7217431,Denner
Coop Supermarkt Stäfa,"Kronenstrasse 4, Stäfa",47.2414913,8.7244373,Denner
Prima Meilen Dorf,"Dorfstrasse 78, Meilen",47.26979679999999,8.6425304,Denner
ALDI SUISSE,"Häldelistrasse 11, Stäfa",47.2414782,8.7184364,Denner
ALDI SUISSE,"Zugerstrasse 1, Richterswil",47.2050777,8.7066964,Aldi
ALDI SUISSE,"Häldelistrasse 11, Stäfa",47.2414782,8.7184364,Aldi
ALDI SUISSE,"Seestrasse 302/304, Wädenswil",47.2464746,8.646444899999999,Aldi
ALDI SUISSE,"Seestrasse 61, Männedorf",47.2572967,8.6833697,Aldi
Coop Supermarkt Männedorf,"Dammstrasse 18, Männedorf",47.2554261,8.6898834,Aldi
Migros-Supermarkt - Schindellegi,"Pfäffikonerstrasse 19, Schindellegi",47.1758732,8.7130995,Aldi
Migros-Supermarkt - Wädenswil,"Oberdorfstrasse 27-31, Wädenswil",47.2290391,8.667934899999999,Aldi
Coop Supermarkt Meilen,"Dorfstrasse 140, Meilen",47.26866810000001,8.646594,Aldi
Prima Meilen Dorf,"Dorfstrasse 78, Meilen",47.26979679999999,8.6425304,Aldi
Denner Discount,"Wächlenstrasse 1, Wollerau",47.1963227,8.722434699999999,Aldi
Lidl Schweiz,"Steinacherstrasse 147, Wädenswil",47.23659,8.63606,Aldi
avec,"Seestrasse 314, Au ZH",47.2467974,8.643348,Aldi
Volg Männedorf,"Allenbergstrasse 2, Männedorf",47.256799,8.704022499999999,Aldi
Migros-Supermarkt - Hombrechtikon,"Rütistrasse 16, Hombrechtikon",47.25190689999999,8.7695935,Migros
Migros-Supermarkt - Einsiedeln,"Eisenbahnstrasse 2, Einsiedeln",47.1287165,8.7460364,Migros
Migros-Supermarkt - Rapperswil - Sonnenhof,"Zürcherstrasse 4, Rapperswil-Jona",47.2294502,8.8213855,Migros
Migros-Supermarkt - Rapperswil - Zentrum,"u. Bahnhofstrasse 19, Rapperswil-Jona",47.2256951,8.8182107,Migros
Migros-Supermarkt - Pfäffikon - Seedammcenter,"Gwattstrasse 11, Pfäffikon",47.2004028,8.793173699999999,Migros
Coop Supermarkt Bubikon,"Ritterhausstrasse 3, Bubikon",47.27004849999999,8.8235466,Coop
Coop Supermarkt Hombrechtikon,"Blattenstrasse 2, Hombrechtikon",47.25312,8.7733173,Coop
Coop Supermarkt Pfäffikon SZ Etzelstrasse,"Etzelstrasse 14, Pfäffikon",47.20058340000001,8.778340199999999,Coop
Coop Supermarkt Pfäffikon SZ Seedamm,"Gwattstrasse 15, Pfäffikon",47.2006991,8.7941667,Coop
Coop Supermarkt Rapperswil Bahnhof,"u. Bahnhofstrasse 2, Rapperswil-Jona",47.2254105,8.8180932,Coop
Migros-Supermarkt - Schindellegi,"Pfäffikonerstrasse 19, Schindellegi",47.1758732,8.7130995,Coop
Coop Supermarkt Einsiedeln,"Schwanenstrasse 2, Einsiedeln",47.12690019999999,8.7458177,Coop
Coop Supermarkt Rapperswil,"Jägerweg 22, Rapperswil-Jona",47.2273412,8.8221325,Coop
Coop Supermarkt Pfäffikon Bahnhof,"Bahnweg 2, Pfäffikon",47.2028867,8.7788147,Coop
Coop Supermarkt Einsiedeln Wissmüli Markt K.,"Zürichstrasse 44, Einsiedeln",47.1328731,8.7448184,Coop
Coop Supermarkt Altendorf,"Zürcherstrasse 109b, Altendorf",47.1991801,8.8108577,Coop
Migros-Supermarkt - Horgen - Schinzenhof,"Alte Landstrasse 24, Horgen",47.2604576,8.5973844,Coop
Migros-Supermarkt - Hombrechtikon,"Rütistrasse 16, Hombrechtikon",47.25190689999999,8.7695935,Coop
Coop Pronto Shop mit Tankstelle Altendorf,"Zürcherstrasse 72, Altendorf",47.1938114,8.8174418,Coop
JUMBO Einsiedeln Wissmüli Markt K.,"Zürichstrasse 44, Einsiedeln",47.1324383,8.7451106,Coop
Coop Pronto Shop mit Tankstelle Einsiedeln,"Zürichstrasse 75, Einsiedeln",47.1392195,8.746207799999999,Coop
Migros-Supermarkt - Einsiedeln,"Eisenbahnstrasse 2, Einsiedeln",47.1287165,8.7460364,Coop
Lidl Schweiz,"Zürcherstrasse 68, Altendorf",47.19354999999999,8.81873,Lidl
Lidl Schweiz,"Zürichstrasse 73, Einsiedeln",47.13825,8.745949999999999,Lidl
Lidl Schweiz,"Obere Bahnhofstrasse 58-62, Rapperswil-Jona",47.22817,8.820230000000002,Lidl
Coop Supermarkt Pfäffikon Bahnhof,"Bahnweg 2, Pfäffikon",47.2028867,8.7788147,Lidl
ALDI SUISSE,"Firststrasse 19, Feusisberg",47.1898888,8.7400171,Lidl
ALDI SUISSE,"Häldelistrasse 11, Stäfa",47.2414782,8.7184364,Lidl
Denner Partner,"Im Zentrum 10, Hombrechtikon",47.25210089999999,8.7683602,Denner
Denner Express,"Dorfpl. 2, Altendorf",47.19205729999999,8.8298996,Denner
Denner Discount,"Ufenaustrasse 2, Freienbach",47.2035562,8.765935899999999,Denner
Denner Discount,"Zürichstrasse, Heidenbühl 2, Einsiedeln",47.1310516,8.743656699999999,Denner
Denner Discount,"Einkaufszentrum, Eisenbahnstrasse 2, Einsiedeln",47.128711,8.745946,Denner
Denner Discount,"Seedamm-Center, Freienbach",47.2009196,8.7928872,Denner
Denner Discount,"Zürcherstrasse 4, Rapperswil-Jona",47.2291956,8.820672499999999,Denner
Migros-Supermarkt - Männedorf,"Alte Landstrasse 262, Männedorf",47.25284389999999,8.6959135,Denner
Migros-Supermarkt - Einsiedeln,"Eisenbahnstrasse 2, Einsiedeln",47.1287165,8.7460364,Denner
Lidl Schweiz,"Zürcherstrasse 68, Altendorf",47.19354999999999,8.81873,Denner
Coop Supermarkt Pfäffikon SZ Seedamm,"Gwattstrasse 15, Pfäffikon",47.2006991,8.7941667,Denner
Lidl Schweiz,"Zürichstrasse 73, Einsiedeln",47.13825,8.745949999999999,Denner
ALDI SUISSE,"Firststrasse 19, Feusisberg",47.1898888,8.7400171,Denner
Volg Oetwil am See,"Willikonerstrasse 7, Oetwil am See",47.2702522,8.7214248,Denner
ALDI SUISSE,"Firststrasse 19, Feusisberg",47.1898888,8.7400171,Aldi
Coop Supermarkt Pfäffikon Bahnhof,"Bahnweg 2, Pfäffikon",47.2028867,8.7788147,Aldi
Lidl Schweiz,"Zürichstrasse 73, Einsiedeln",47.13825,8.745949999999999,Aldi
SPAR mini Rapperswil,"Oberseestrasse 58, Rapperswil-Jona",47.222824,8.8286546,Aldi
Lidl Schweiz,"Zürcherstrasse 68, Altendorf",47.19354999999999,8.81873,Aldi
ALIGRO Rapperswil-Jona,"Rütistrasse 155, Rapperswil-Jona",47.243775,8.8291944,Aldi
Migros-Supermarkt - Rüti ZH,"Bandwiesstrasse 6, Rüti",47.2580223,8.849253599999999,Migros
Migros-Supermarkt - Lachen,"Feldstrasse 6, Lachen",47.1915957,8.855888,Migros
Migros-Supermarkt - Wald ZH,"Bahnhofstrasse 20, Wald",47.2748977,8.9147502,Migros
Migros-Supermarkt - Eschenbach,"Rickenstrasse 12, Eschenbach",47.2410666,8.9240471,Migros
Migros-Supermarkt - Jona - Stadttor,"Molkereistrasse 5, Jona SG",47.231463,8.837396,Migros
VOI Siebnen,"Glarnerstrasse 36, Siebnen",47.1753904,8.900339599999999,Migros
Coop Supermarkt Bubikon,"Ritterhausstrasse 3, Bubikon",47.27004849999999,8.8235466,Migros
Coop Supermarkt Siebnen,"Stockbergstrasse 1, Schübelbach",47.1752568,8.9023399,Coop
Coop Supermarkt Wald ZH,"Bahnhofstrasse 33, Wald",47.2738257,8.9146733,Coop
Coop Supermarkt Lachen,"Feldstrasse 6, Lachen",47.191856,8.8553584,Coop
Coop Supermarkt Jona Eisenhof,"Allmeindstrasse 17, Jona SG",47.2314719,8.836679799999999,Coop
Coop Supermarkt Rüti,"Bandwiesstrasse 11, Rüti",47.25740330000001,8.8500132,Coop
Coop Supermarkt Jona Center,"St. Gallerstrasse 120, Jona SG",47.22969740000001,8.8489071,Coop
Coop Supermarkt Tann-Dürnten,"Abernstrasse 9, Tann ZH",47.2680291,8.8527212,Coop
Coop Supermarkt Eschenbach SG,"Obergass 15, Eschenbach",47.2408161,8.919815999999999,Coop
Migros-Supermarkt - Rüti ZH,"Bandwiesstrasse 6, Rüti",47.2580223,8.849253599999999,Coop
Migros-Supermarkt - Jona - Stadttor,"Molkereistrasse 5, Jona SG",47.231463,8.837396,Coop
Migros-Supermarkt - Rapperswil - Zentrum,"u. Bahnhofstrasse 19, Rapperswil-Jona",47.2256951,8.8182107,Coop
Migros-Supermarkt - Lachen,"Feldstrasse 6, Lachen",47.1915957,8.855888,Coop
Migros-Supermarkt - Wädenswil,"Oberdorfstrasse 27-31, Wädenswil",47.2290391,8.667934899999999,Coop
SPAR,"Forchstrasse 4, Esslingen ZH",47.287565,8.710875999999999,Coop
Denner Discount,"Oberdorfstrasse 21, Wädenswil",47.2283082,8.668846799999999,Coop
Lidl Schweiz,"Zürcherstrasse 68, Altendorf",47.19354999999999,8.81873,Coop
Denner Discount,"Bandwiesstrasse 1b, Rüti",47.2585402,8.849602299999999,Coop
Drüegg Bioladen,"Gerbestrasse 6, Wädenswil",47.22953099999999,8.673058,Coop
Lidl Schweiz,"Feldlistrasse 5, Jona SG",47.2292284,8.8470804,Lidl
